I0330 19:47:50.263575 accounts/keystore/account_cache.go:228] reloaded keys, cache has 1 accounts
I0330 19:47:50.263650 accounts/keystore/watch.go:74] now watching /home/alex/.ethereum/testnet/keystore
I0330 19:47:50.264779 accounts/keystore/account_cache.go:228] reloaded keys, cache has 1 accounts
I0330 19:47:50.265258 ethdb/database.go:83] Allotted 128MB cache and 1024 file handles to /home/alex/.ethereum/testnet/geth/chaindata
I0330 19:47:50.490393 ethdb/database.go:176] closed db:/home/alex/.ethereum/testnet/geth/chaindata
I0330 19:47:50.492254 node/node.go:176] instance: Geth/v1.5.9-stable-a07539fb/linux/go1.7.3
I0330 19:47:50.492373 ethdb/database.go:83] Allotted 128MB cache and 1024 file handles to /home/alex/.ethereum/testnet/geth/chaindata
I0330 19:47:50.555955 core/state/statedb.go:455] (+) 000000000000000000000000000000000000002d
I0330 19:47:50.555991 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000027
I0330 19:47:50.556033 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000095
I0330 19:47:50.556075 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000084
I0330 19:47:50.556113 core/state/statedb.go:455] (+) 000000000000000000000000000000000000004f
I0330 19:47:50.556148 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000f0
I0330 19:47:50.556187 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000042
I0330 19:47:50.556225 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000093
I0330 19:47:50.556261 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000ac
I0330 19:47:50.556296 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000ad
I0330 19:47:50.556332 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000bb
I0330 19:47:50.556370 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000df
I0330 19:47:50.556407 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000eb
I0330 19:47:50.556446 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000045
I0330 19:47:50.556482 core/state/statedb.go:455] (+) 000000000000000000000000000000000000004e
I0330 19:47:50.556517 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000037
I0330 19:47:50.556555 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000d1
I0330 19:47:50.556593 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000013
I0330 19:47:50.556633 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000e5
I0330 19:47:50.556670 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000a7
I0330 19:47:50.556709 core/state/statedb.go:455] (+) 000000000000000000000000000000000000008f
I0330 19:47:50.556746 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000011
I0330 19:47:50.556783 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000029
I0330 19:47:50.556819 core/state/statedb.go:455] (+) 000000000000000000000000000000000000009f
I0330 19:47:50.556855 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000a1
I0330 19:47:50.556893 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000ca
I0330 19:47:50.556955 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000e3
I0330 19:47:50.556997 core/state/statedb.go:455] (+) 000000000000000000000000000000000000008d
I0330 19:47:50.557036 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000e7
I0330 19:47:50.557114 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000031
I0330 19:47:50.557156 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000f2
I0330 19:47:50.557192 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000072
I0330 19:47:50.557227 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000014
I0330 19:47:50.557263 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000c4
I0330 19:47:50.557300 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000d0
I0330 19:47:50.557337 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000089
I0330 19:47:50.557372 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000055
I0330 19:47:50.557408 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000d3
I0330 19:47:50.557446 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000019
I0330 19:47:50.557483 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000021
I0330 19:47:50.557518 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000e9
I0330 19:47:50.557556 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000a4
I0330 19:47:50.557597 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000b5
I0330 19:47:50.557644 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000cc
I0330 19:47:50.557689 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000047
I0330 19:47:50.557728 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000061
I0330 19:47:50.557764 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000af
I0330 19:47:50.557802 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000054
I0330 19:47:50.557839 core/state/statedb.go:455] (+) 000000000000000000000000000000000000007b
I0330 19:47:50.557875 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000012
I0330 19:47:50.557911 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000c5
I0330 19:47:50.557947 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000f8
I0330 19:47:50.557984 core/state/statedb.go:455] (+) 000000000000000000000000000000000000004c
I0330 19:47:50.558020 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000074
I0330 19:47:50.558056 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000017
I0330 19:47:50.558094 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000c8
I0330 19:47:50.558132 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000fc
I0330 19:47:50.558168 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000035
I0330 19:47:50.558203 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000ec
I0330 19:47:50.558239 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000d9
I0330 19:47:50.558274 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000c6
I0330 19:47:50.558311 core/state/statedb.go:455] (+) 000000000000000000000000000000000000004b
I0330 19:47:50.558348 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000050
I0330 19:47:50.558386 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000a6
I0330 19:47:50.558422 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000b1
I0330 19:47:50.558459 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000c9
I0330 19:47:50.558497 core/state/statedb.go:455] (+) 874b54a8bd152966d63f706bae1ffeb0411921e5
I0330 19:47:50.558526 core/state/state_object.go:257] 874b54a8bd152966d63f706bae1ffeb0411921e5: #0 1000000000000000000000000000000 (+ 1000000000000000000000000000000)
I0330 19:47:50.558567 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000087
I0330 19:47:50.558629 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000b8
I0330 19:47:50.558670 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000094
I0330 19:47:50.558709 core/state/statedb.go:455] (+) 000000000000000000000000000000000000000d
I0330 19:47:50.558745 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000080
I0330 19:47:50.558781 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000a2
I0330 19:47:50.558816 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000015
I0330 19:47:50.558854 core/state/statedb.go:455] (+) 000000000000000000000000000000000000000c
I0330 19:47:50.558890 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000bd
I0330 19:47:50.558927 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000e1
I0330 19:47:50.558962 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000de
I0330 19:47:50.558998 core/state/statedb.go:455] (+) 000000000000000000000000000000000000008e
I0330 19:47:50.559035 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000e6
I0330 19:47:50.559072 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000e2
I0330 19:47:50.559107 core/state/statedb.go:455] (+) 000000000000000000000000000000000000006a
I0330 19:47:50.559143 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000070
I0330 19:47:50.559181 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000098
I0330 19:47:50.559219 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000ee
I0330 19:47:50.559258 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000044
I0330 19:47:50.559320 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000cf
I0330 19:47:50.559361 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000067
I0330 19:47:50.559398 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000b4
I0330 19:47:50.559440 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000f4
I0330 19:47:50.559480 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000ba
I0330 19:47:50.559515 core/state/statedb.go:455] (+) 000000000000000000000000000000000000007e
I0330 19:47:50.559554 core/state/statedb.go:455] (+) 000000000000000000000000000000000000009c
I0330 19:47:50.559591 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000cb
I0330 19:47:50.559627 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000048
I0330 19:47:50.559662 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000c3
I0330 19:47:50.559697 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000022
I0330 19:47:50.559736 core/state/statedb.go:455] (+) 000000000000000000000000000000000000009a
I0330 19:47:50.559776 core/state/statedb.go:455] (+) 000000000000000000000000000000000000005d
I0330 19:47:50.559812 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000023
I0330 19:47:50.559847 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000cd
I0330 19:47:50.559885 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000f5
I0330 19:47:50.559921 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000063
I0330 19:47:50.559956 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000069
I0330 19:47:50.559992 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000fd
I0330 19:47:50.560026 core/state/statedb.go:455] (+) 000000000000000000000000000000000000006e
I0330 19:47:50.560063 core/state/statedb.go:455] (+) 000000000000000000000000000000000000009d
I0330 19:47:50.560100 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000dc
I0330 19:47:50.560135 core/state/statedb.go:455] (+) 000000000000000000000000000000000000005e
I0330 19:47:50.560170 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000083
I0330 19:47:50.560206 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000e8
I0330 19:47:50.560270 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000036
I0330 19:47:50.560309 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000f9
I0330 19:47:50.560347 core/state/statedb.go:455] (+) 000000000000000000000000000000000000001c
I0330 19:47:50.560384 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000aa
I0330 19:47:50.560422 core/state/statedb.go:455] (+) 000000000000000000000000000000000000004a
I0330 19:47:50.560459 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000d6
I0330 19:47:50.560494 core/state/statedb.go:455] (+) 000000000000000000000000000000000000000f
I0330 19:47:50.560531 core/state/statedb.go:455] (+) 000000000000000000000000000000000000001d
I0330 19:47:50.560569 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000ae
I0330 19:47:50.560606 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000fa
I0330 19:47:50.560688 core/state/statedb.go:455] (+) 000000000000000000000000000000000000006d
I0330 19:47:50.560736 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000a9
I0330 19:47:50.560776 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000c1
